iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,145,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","69,990,585,249.60","8.00","69,990,585,249.60","321,884,590.00","217.44","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","63,462,427,070.90","7.26","63,462,427,070.90","195,190,930.00","325.13","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","49,461,690,427.76","5.65","49,461,690,427.76","98,721,988.00","501.02","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","33,163,258,870.28","3.79","33,163,258,870.28","130,092,809.00","254.92","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","26,106,921,959.16","2.98","26,106,921,959.16","77,926,458.00","335.02","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","23,261,163,552.72","2.66","23,261,163,552.72","62,922,429.00","369.68","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","20,855,635,039.06","2.38","20,855,635,039.06","62,812,502.00","332.03","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","16,884,773,209.76","1.93","16,884,773,209.76","29,185,144.00","578.54","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","13,990,492,064.00","1.60","13,990,492,064.00","14,988,100.00","933.44","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,322,890,135.10","1.52","13,322,890,135.10","37,414,390.00","356.09","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","12,639,859,657.30","1.45","12,639,859,657.30","35,610,254.00","354.95","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","12,239,071,024.99","1.40","12,239,071,024.99","24,364,603.00","502.33","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","12,195,205,280.00","1.39","12,195,205,280.00","10,513,108.00","1,160.00","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","9,959,911,861.55","1.14","9,959,911,861.55","21,670,355.00","459.61","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","9,064,236,420.90","1.04","9,064,236,420.90","55,084,998.00","164.55","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","8,675,680,239.69","0.99","8,675,680,239.69","31,991,151.00","271.19","United States","NYSE","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","8,220,074,984.83","0.94","8,220,074,984.83","22,057,249.00","372.67","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD CLASS A","Financials","Equity","6,231,208,518.60","0.71","6,231,208,518.60","10,723,126.00","581.10","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,171,178,616.96","0.71","6,171,178,616.96","58,262,638.00","105.92","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE","Health Care","Equity","6,104,623,177.77","0.70","6,104,623,177.77","23,480,223.00","259.99","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","5,838,409,091.34","0.67","5,838,409,091.34","65,622,222.00","88.97","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","5,760,588,843.36","0.66","5,760,588,843.36","52,493,064.00","109.74","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,542,093,456.20","0.63","5,542,093,456.20","5,896,095.00","939.96","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","5,490,146,170.08","0.63","5,490,146,170.08","30,514,374.00","179.92","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA","Financials","Equity","5,378,677,961.35","0.61","5,378,677,961.35","86,766,865.00","61.99","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON","Energy","Equity","5,250,848,022.00","0.60","5,250,848,022.00","24,879,640.00","211.05","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","4,918,930,759.02","0.56","4,918,930,759.02","32,823,507.00","149.86","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH","Information Technology","Equity","4,823,066,830.60","0.55","4,823,066,830.60","16,619,803.00","290.20","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,782,968,874.30","0.55","4,782,968,874.30","12,069,061.00","396.30","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","4,769,465,874.72","0.55","4,769,465,874.72","6,121,292.00","779.16","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","4,660,062,487.95","0.53","4,660,062,487.95","10,546,707.00","441.85","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","4,590,704,556.52","0.52","4,590,704,556.52","13,865,428.00","331.09","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","4,528,574,072.00","0.52","4,528,574,072.00","51,461,069.00","88.00","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,524,796,545.24","0.52","4,524,796,545.24","30,947,244.00","146.21","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX","Communication","Equity","4,522,177,702.20","0.52","4,522,177,702.20","55,960,620.00","80.81","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT","Consumer Discretionary","Equity","4,232,786,216.67","0.48","4,232,786,216.67","13,236,971.00","319.77","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","3,930,344,991.04","0.45","3,930,344,991.04","3,920,309.00","1,002.56","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","3,902,518,032.13","0.45","3,902,518,032.13","10,777,757.00","362.09","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,876,413,620.50","0.44","3,876,413,620.50","20,712,870.00","187.15","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","3,671,784,833.32","0.42","3,671,784,833.32","17,897,177.00","205.16","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,539,848,647.68","0.40","3,539,848,647.68","40,669,217.00","87.04","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,362,079,717.28","0.38","3,362,079,717.28","15,931,007.00","211.04","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","3,208,751,265.36","0.37","3,208,751,265.36","3,571,112.00","898.53","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","3,186,870,152.84","0.36","3,186,870,152.84","22,550,737.00","141.32","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","3,141,776,044.80","0.36","3,141,776,044.80","7,171,040.00","438.12","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,064,119,939.28","0.35","3,064,119,939.28","12,094,892.00","253.34","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","3,024,612,413.58","0.35","3,024,612,413.58","1,968,034.00","1,536.87","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP","Financials","Equity","3,004,212,078.24","0.34","3,004,212,078.24","22,666,456.00","132.54","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,990,947,929.80","0.34","2,990,947,929.80","6,144,605.00","486.76","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","2,966,643,051.73","0.34","2,966,643,051.73","17,359,957.00","170.89","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,965,712,769.50","0.34","2,965,712,769.50","4,938,739.00","600.50","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","2,910,115,611.12","0.33","2,910,115,611.12","13,531,016.00","215.07","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","2,890,336,410.00","0.33","2,890,336,410.00","12,490,650.00","231.40","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","2,806,168,048.35","0.32","2,806,168,048.35","10,871,985.00","258.11","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,791,248,304.20","0.32","2,791,248,304.20","55,492,014.00","50.30","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,667,900,640.12","0.31","2,667,900,640.12","16,349,434.00","163.18","United States","NYSE","USD","1.00","USD","-"
