iShares Top 20 U.S. Stocks ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"Oct 23, 2024"
Shares Outstanding,"19,760,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","109,650,425.76","16.57","109,650,425.76","504,279.00","217.44","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","99,424,103.74","15.03","99,424,103.74","305,798.00","325.13","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","43,248,046.40","6.54","43,248,046.40","86,320.00","501.02","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","40,900,916.70","6.18","40,900,916.70","122,085.00","335.02","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","32,674,076.21","4.94","32,674,076.21","98,407.00","332.03","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","30,406,857.60","4.60","30,406,857.60","119,280.00","254.92","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","28,763,851.72","4.35","28,763,851.72","49,718.00","578.54","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","28,203,626.56","4.26","28,203,626.56","76,292.00","369.68","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","28,110,545.60","4.25","28,110,545.60","30,115.00","933.44","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","26,490,959.46","4.00","26,490,959.46","74,394.00","356.09","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","25,398,447.25","3.84","25,398,447.25","71,555.00","354.95","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","24,594,076.80","3.72","24,594,076.80","48,960.00","502.33","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","24,503,840.00","3.70","24,503,840.00","21,124.00","1,160.00","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","20,013,717.45","3.02","20,013,717.45","43,545.00","459.61","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","18,214,204.05","2.75","18,214,204.05","110,691.00","164.55","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","17,433,177.96","2.63","17,433,177.96","64,284.00","271.19","United States","NYSE","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","16,517,852.41","2.50","16,517,852.41","44,323.00","372.67","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","12,400,478.08","1.87","12,400,478.08","117,074.00","105.92","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","11,723,576.90","1.77","11,723,576.90","131,770.00","88.97","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","11,575,594.68","1.75","11,575,594.68","105,482.00","109.74","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","11,136,646.08","1.68","11,136,646.08","11,848.00","939.96","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","262,144.31","0.04","262,144.31","262,144.00","100.00","United States","-","USD","1.00","USD","-"
"BPSFT","CASH COLLATERAL BPSFT USD","Cash and/or Derivatives","Cash Collateral and Margins","17,000.00","0.00","17,000.00","17,000.00","100.00","United States","-","USD","1.00","USD","Jun 16, 2022"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","9,102.79","0.00","9,102.79","9,103.00","1.00","United States","-","USD","1.00","USD","-"
"HWBU6","MICRO E-MINI NASDAQ 100 SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","233,004.00","4.00","29,125.50","-","Chicago Mercantile Exchange","USD","1.00","USD","-"

